CryptoID,crypto_type,minable,BTC_price_change_1_day,price_btc,USD_price_change_1_day,price_usd,trade_date
17,0,1,0,1,0.00412023,445.98,5/24/2016
17,0,1,0,1,0.008116956,449.6,5/25/2016
17,0,1,0,1,0.008407473,453.38,5/26/2016
17,0,1,0,1,0.044289558,473.46,5/27/2016
17,0,1,0,1,0.119503232,530.04,5/28/2016
17,0,1,0,1,-0.007188137,526.23,5/29/2016
17,0,1,0,1,0.014499363,533.86,5/30/2016
17,0,1,0,1,-0.004626681,531.39,5/31/2016
17,0,1,0,1,0.010406669,536.92,6/1/2016
17,0,1,0,1,0.001955599,537.97,6/2/2016
17,0,1,0,1,0.058032976,569.19,6/3/2016
17,0,1,0,1,0.006219364,572.73,6/4/2016
17,0,1,0,1,0.003928553,574.98,6/5/2016
17,0,1,0,1,0.018365856,585.54,6/6/2016
17,0,1,0,1,-0.015267958,576.6,6/7/2016
17,0,1,0,1,0.008758238,581.65,6/8/2016
17,0,1,0,1,-0.012069114,574.63,6/9/2016
17,0,1,0,1,0.004942311,577.47,6/10/2016
17,0,1,0,1,0.050669299,606.73,6/11/2016
17,0,1,0,1,0.108862262,672.78,6/12/2016
17,0,1,0,1,0.046969292,704.38,6/13/2016
17,0,1,0,1,-0.026718533,685.56,6/14/2016
17,0,1,0,1,0.012996674,694.47,6/15/2016
17,0,1,0,1,0.103445793,766.31,6/16/2016
17,0,1,0,1,-0.022706216,748.91,6/17/2016
17,0,1,0,1,0.009774205,756.23,6/18/2016
17,0,1,0,1,0.009983735,763.78,6/19/2016
17,0,1,0,1,-0.034761319,737.23,6/20/2016
17,0,1,0,1,-0.095736744,666.65,6/21/2016
17,0,1,0,1,-0.105797645,596.12,6/22/2016
17,0,1,0,1,0.046735557,623.98,6/23/2016
17,0,1,0,1,0.066220071,665.3,6/24/2016
17,0,1,0,1,-0.000270555,665.12,6/25/2016
17,0,1,0,1,-0.053749699,629.37,6/26/2016
17,0,1,0,1,0.041168152,655.28,6/27/2016
17,0,1,0,1,-0.01263582,647,6/28/2016
17,0,1,0,1,-0.010989181,639.89,6/29/2016
17,0,1,0,1,0.05227461,673.34,6/30/2016
17,0,1,0,1,0.004395996,676.3,7/1/2016
17,0,1,0,1,0.040514565,703.7,7/2/2016
17,0,1,0,1,-0.064004547,658.66,7/3/2016
17,0,1,0,1,0.03795585,683.66,7/4/2016
17,0,1,0,1,-0.019059181,670.63,7/5/2016
17,0,1,0,1,0.009990606,677.33,7/6/2016
17,0,1,0,1,-0.054286684,640.56,7/7/2016
17,0,1,0,1,0.040527039,666.52,7/8/2016
17,0,1,0,1,-0.023345136,650.96,7/9/2016
17,0,1,0,1,-0.002457908,649.36,7/10/2016
17,0,1,0,1,-0.002617962,647.66,7/11/2016
17,0,1,0,1,0.026078498,664.55,7/12/2016
17,0,1,0,1,-0.015168159,654.47,7/13/2016
17,0,1,0,1,0.005515914,658.08,7/14/2016
17,0,1,0,1,0.007871383,663.26,7/15/2016
17,0,1,0,1,-0.003754184,660.77,7/16/2016
17,0,1,0,1,0.028285182,679.46,7/17/2016
17,0,1,0,1,-0.009345657,673.11,7/18/2016
17,0,1,0,1,-0.00037141,672.86,7/19/2016
17,0,1,0,1,-0.010670868,665.68,7/20/2016
17,0,1,0,1,-0.00100649,665.01,7/21/2016
